Carrier,Type,Sector,ID,Definition,Method/source
Methane,Demand,Buildings,Buildings_hp_hybrid,"Hybrid heat pump demand non-residential buildings (offices, schools, shops etc.)",Volgt regionalisatie elektriciteit
Methane,Demand,District heating,District_heat_network,Methane back-up heaters for district heating,Volgt regionalisatie elektriciteit
Methane,Demand,Households,Households,Methane demand residential buildings / households,nvt
Methane,Demand,Households,Households_combi_boiler,Methane boiler demand residential buildings / households,"CBS data hoofdverwarmingsinstallaties + interne modellen (o.a. uitvraag gemeentes, PBL Startanalyse, woningkarakteristieken)"
Methane,Demand,Households,Households_hp_hybrid,Hybrid heat pump demand residential buildings / households,"CBS data hoofdverwarmingsinstallaties + interne modellen (o.a. uitvraag gemeentes, PBL Startanalyse, woningkarakteristieken)"
Methane,Demand,Industry,Industry_xxx,Hydrogen demand industry (per subsector),"Op provincieniveau op basis van: Huidige bedrijfslocaties, clusterinformatie (CES 3.0), klantprognoses."
Methane,Demand,Other demand,Other_demand,Other non-specified methane demand,Verdeeld obv inwoners
Methane,Demand,Transport,Transport_other,Methane demand road & rail transport,Verdeeld obv huidige CNG-stations
Methane,Demand,Power plants,Power_plant_methane,Existing methane power plants,Volgt elektriciteit
Methane,Demand,Power plants,Power_plant_methane_backup,New-built methane power plants (turbines) providing backup capacity,Volgt elektriciteit
Methane,Demand,Power plants,Power_plant_methane_CHP,Decentral methane CHP power plants,Volgt elektriciteit
Methane,Demand,Hydrogen supply,Biomass_hydrogen_production,Hydrogen production from biomass,Niet van toepassing
Methane,Demand,Hydrogen supply,Blue_hydrogen_production,Steam Methane Reformer (SMR) + CCS locations,Zie waterstof
Methane,Demand,Hydrogen supply,Grey_hydrogen_production,Steam Methane Reformer (SMR) locations,Zie waterstof
Methane,Supply,Methane supply,Green_gas_fermentation,Green gas fermentation locations,CE Delft “Scenariostudie groengasproductie rond 2030”
Methane,Supply,Methane supply,Green_gas_dry_gasification,Methane production from dry gasification,Verdeeld over industrieclusters obv expert judgement
Methane,Supply,Methane supply,Green_gas_wet_gasification,Methane production from wet gasification,Verdeeld over industrieclusters en bestaande locaties obv expert judgement
Methane,Supply,Methane supply,Natural_gas_production,Methane production from underground ressources,Obv huidige en verwachte capaciteiten
Methane,Exchange,Exchange,Export,Methane export locations,Obv huidige en verwachte capaciteiten
Methane,Exchange,Exchange,Import,Methane import locations,Obv huidige en verwachte capaciteiten
Methane,Exchange,Exchange,Import_LNG,LNG import locations,Obv huidige en verwachte capaciteiten
Methane,Flexibility,Methane storage,Storage,Large scale methane storage (seasonal),O.b.v bestaande opslocaties
